02-2023
-59,89;BYN;06.12.2022
-30,00;BYN;06.12.2022
-53,39;BYN;05.12.2022
-12,58;BYN;05.12.2022
-34,30;BYN;05.12.2022
-1003,71;BYN;02.12.2022
-335,42;BYN;02.12.2022
2635,43;BYN;02.12.2022
-50,86;BYN;02.12.2022
10,58;BYN;01.12.2022
-3,09;BYN;01.12.2022
-11,18;BYN;01.12.2022
11-2022
-34,56;BYN;30.11.2022
0,02;BYN;30.11.2022
-25,05;BYN;30.11.2022
23,50;BYN;30.11.2022
-8,40;BYN;29.11.2022
-52,58;BYN;29.11.2022
-6,10;BYN;29.11.2022
-22,67;BYN;29.11.2022
-6,15;BYN;29.11.2022
-11,00;BYN;28.11.2022
-41,68;BYN;28.11.2022
-78,79;BYN;28.11.2022
-13,01;BYN;28.11.2022
-44,33;BYN;28.11.2022
-293,40;BYN;28.11.2022
-43,54;BYN;28.11.2022
-10,60;BYN;28.11.2022
-33,48;BYN;28.11.2022
-41,77;BYN;25.11.2022
7150,09;BYN;25.11.2022
-25,88;BYN;24.11.2022
-42,72;BYN;23.11.2022
-5,49;BYN;23.11.2022
-177,63;BYN;23.11.2022
-35,64;BYN;22.11.2022
-13,30;BYN;22.11.2022
-38,23;BYN;22.11.2022
-48,79;BYN;21.11.2022
-7,82;BYN;21.11.2022
-7,79;BYN;18.11.2022
-41,94;BYN;18.11.2022
-30,00;BYN;18.11.2022
-38,72;BYN;17.11.2022
-16,32;BYN;16.11.2022
-89,39;BYN;15.11.2022
-10,14;BYN;14.11.2022
-57,55;BYN;14.11.2022
-22,71;BYN;14.11.2022
-41,92;BYN;14.11.2022
-7,66;BYN;14.11.2022
-1,37;BYN;14.11.2022
-43,89;BYN;10.11.2022
-278,43;BYN;10.11.2022
-49,38;BYN;09.11.2022
-52,14;BYN;09.11.2022
-52,71;BYN;09.11.2022
-101,50;BYN;09.11.2022
-28,75;BYN;08.11.2022
-9,10;BYN;08.11.2022
-34,00;BYN;08.11.2022
-6,09;BYN;08.11.2022
-6,09;BYN;08.11.2022
-33,93;BYN;04.11.2022
-2,40;BYN;04.11.2022
-7,00;BYN;04.11.2022
-43,89;BYN;03.11.2022
-12,69;BYN;03.11.2022
-12,53;BYN;02.11.2022
-60,60;BYN;02.11.2022
-1014,85;BYN;02.11.2022
-39,28;BYN;01.11.2022
-40,65;BYN;01.11.2022
10-2022
-61,10;BYN;31.10.2022
-30,00;BYN;31.10.2022
-30,38;BYN;31.10.2022
-8,50;BYN;31.10.2022
0,02;BYN;31.10.2022
-69,61;BYN;31.10.2022
-30,00;BYN;31.10.2022
-86,87;BYN;28.10.2022
-50,29;BYN;27.10.2022
-419,84;BYN;26.10.2022
-42,23;BYN;26.10.2022
-202,50;BYN;26.10.2022
-53,62;BYN;26.10.2022
-152,00;BYN;26.10.2022
-37,62;BYN;26.10.2022
-35,50;BYN;26.10.2022
6929,10;BYN;25.10.2022
-60,43;BYN;25.10.2022
-30,00;BYN;25.10.2022
-18,08;BYN;25.10.2022
-59,88;BYN;25.10.2022
-5,49;BYN;24.10.2022
-24,44;BYN;24.10.2022
-17,43;BYN;24.10.2022
-6,90;BYN;24.10.2022
-45,29;BYN;21.10.2022
-4,90;BYN;21.10.2022
-5,70;BYN;21.10.2022
-65,00;BYN;21.10.2022
-7,90;BYN;21.10.2022
-6,99;BYN;20.10.2022
-1,00;BYN;20.10.2022
-0,80;BYN;20.10.2022
-6,00;BYN;20.10.2022
-7,60;BYN;20.10.2022
-0,90;BYN;20.10.2022
-11,00;BYN;19.10.2022
-35,72;BYN;19.10.2022
-32,00;BYN;19.10.2022
-96,00;BYN;19.10.2022
-32,00;BYN;19.10.2022
-21,77;BYN;19.10.2022
-40,99;BYN;18.10.2022
-56,60;BYN;18.10.2022
-6,40;BYN;17.10.2022
-47,80;BYN;17.10.2022
-52,89;BYN;17.10.2022
-0,90;BYN;17.10.2022
-44,29;BYN;14.10.2022
-59,61;BYN;13.10.2022
-27,67;BYN;13.10.2022
-103,90;BYN;12.10.2022
-38,29;BYN;12.10.2022
-68,18;BYN;11.10.2022
-21,45;BYN;10.10.2022
-30,00;BYN;10.10.2022
-44,29;BYN;10.10.2022
-35,72;BYN;10.10.2022
-29,26;BYN;07.10.2022
-31,77;BYN;07.10.2022
-36,52;BYN;06.10.2022
-50,98;BYN;05.10.2022
-66,78;BYN;04.10.2022
-160,40;BYN;03.10.2022
-53,49;BYN;03.10.2022
-31,37;BYN;03.10.2022
-38,12;BYN;03.10.2022
-50,79;BYN;03.10.2022
-41,96;BYN;03.10.2022
-12,79;BYN;03.10.2022
